"","P2M","P3M","REB","AST","TO"
"LeBron James",0.637,-0.354,0.253,0.466,0.286
"Stephen Curry",-1.243,1.31,-0.989,-0.493,-0.716
"James Harden",-0.894,0.772,-1.115,0.468,0.709
"Giannis Antetokounmpo",1.001,-1.047,0.903,-1.49,-1.336
"Russell Westbrook",0.499,-0.682,0.948,1.049,1.058
