"player","AST","ASTPTS","FGM_AST","FGM","FGM_ASTp"
"LeBron James",12,31,6,19,31.5789473684211
"Dwyane Wade",9,23,1,9,11.1111111111111
"JR Smith",5,12,2,4,50
"Isaiah Thomas",4,9,4,8,50
"Kevin Love",3,6,12,14,85.7142857142857
"Jose Calderon",2,5,0,1,0
"Kyle Korver",2,4,2,2,100
"Jae Crowder",1,2,6,8,75
"Channing Frye",NA,NA,1,1,100
"Jeff Green",NA,NA,3,4,75
"Tristan Thompson",NA,NA,1,1,100
