"Team","POSS.Off","POSS.Def","PACE.Off","PACE.Def","ORtg","DRtg","F1.Off","F2.Off","F3.Off","F4.Off","F1.Def","F2.Def","F3.Def","F4.Def"
"Clutch",24.72,441.56,0.226788990825688,4.05100917431193,125.4,111.65,47.5,4.05,1.33,60,50.43,12.46,19.23,39.2
"General",202.28,16542.72,0.0512620375063355,4.19227572225038,97.39,108.33,44.82,14.34,0.33,30.49,53.7,14.61,4.8,18.88
