"Team","POSS.Off","POSS.Def","PACE.Off","PACE.Def","ORtg","DRtg","F1.Off","F2.Off","F3.Off","F4.Off","F1.Def","F2.Def","F3.Def","F4.Def"
"Clutch",210.64,255.64,1.93247706422018,2.34532110091743,108.72,115.4,50.61,13.77,18.48,39.26,50,10.56,75.45,41.15
"General",8250.92,8494.08,2.09095793208312,2.15257982767359,112.76,103.77,56.91,14.93,21.13,19.49,50.47,14.29,76.34,18.56
