"player","MINc","ASc","SPc","MIN","AS","SP","Diff","Prc","MINcp"
"Al Horford",10,4,9.6,69,32,9.5,0.1,-13.8,9.2
"Kyrie Irving",10,21,10.5,69,50,7.9,2.6,189.8,9.2
