"game_num","game_date","home_team","away_team","gsw_pts","opp_pts","ortg","drtg","net","win"
1,2017-10-17,"GSW","HOU",121,122,120.710295291301,112.587670727206,8.12262456409528,FALSE
2,2017-10-20,"NOP","GSW",128,120,115.523465703971,110.415899889584,5.10756581438703,TRUE
3,2017-10-23,"DAL","GSW",133,103,128.576952822893,96.0820895522388,32.4948632706537,TRUE
4,2017-10-25,"GSW","TOR",117,112,119.77886977887,108.359133126935,11.4197366519348,TRUE
5,2017-11-04,"DEN","GSW",127,108,118.161518422032,101.047904191617,17.1136142304152,TRUE
6,2017-11-08,"GSW","MIN",125,101,114.763128901946,92.7626745040411,22.0004543979052,TRUE
7,2017-11-11,"GSW","PHI",135,114,120.064034151547,103.825136612022,16.2388975395256,TRUE
8,2017-11-18,"PHI","GSW",124,116,121.807465618861,110.43412033511,11.3733452837501,TRUE
9,2017-12-25,"GSW","CLE",99,92,104.784081287045,97.8723404255319,6.91174086151295,TRUE
10,2018-01-06,"LAC","GSW",121,105,108.734723220705,93.5828877005348,15.1518355201698,TRUE
11,2018-02-03,"DEN","GSW",108,115,107.8705553336,111.911249513429,-4.04069417982966,FALSE
12,2018-02-06,"GSW","OKC",105,125,100.344036697248,113.101701049584,-12.7576643523361,FALSE
13,2018-03-16,"GSW","SAC",93,98,102.287725472943,103.725656223539,-1.43793075059612,FALSE
14,NA,"MEM","GSW",101,111,100.118953211737,109.597156398104,-9.47820318636754,FALSE
15,NA,"GSW","WAS",120,117,113.421550094518,105.710155402963,7.71139469155447,TRUE
16,NA,"GSW","DET",107,115,109.991776315789,116.774979691308,-6.78320337551841,FALSE
17,NA,"LAC","GSW",141,113,137.964774951076,109.496124031008,28.4686509200686,TRUE
18,NA,"SAS","GSW",112,92,108.695652173913,92.816787732042,15.8788644418711,TRUE
19,NA,"GSW","MIA",97,80,98.4172077922078,74.4324525493115,23.9847552428963,TRUE
20,NA,"GSW","ORL",110,100,111.066235864297,97.1628449280995,13.9033909361978,TRUE
21,NA,"BOS","GSW",88,92,89.4672631150874,88.7003470883147,0.766916026772734,FALSE
22,NA,"BKN","GSW",118,111,108.137829912023,98.9657631954351,9.17206671658836,TRUE
23,NA,"OKC","GSW",91,108,87.5673595073133,103.408655687476,-15.8412961801628,FALSE
24,NA,"GSW","CHI",143,94,135.879893576587,87.360594795539,48.5192987810478,TRUE
25,NA,"GSW","NOP",110,95,105.891413169041,92.1256788207913,13.7657343482499,TRUE
26,NA,"GSW","SAC",106,110,116.279069767442,117.975117975118,-1.69604820767611,FALSE
27,NA,"LAL","GSW",127,123,109.181568088033,106.034482758621,3.14708532941233,TRUE
28,NA,"ORL","GSW",133,112,125.661375661376,106.747998475029,18.9133771863471,TRUE
29,NA,"MIA","GSW",123,95,124.797077922078,100.550381033023,24.2466968890551,TRUE
30,NA,"NOP","GSW",125,115,112.734487734488,106.877323420074,5.85716431441338,TRUE
31,NA,"CHA","GSW",101,87,104.425144747725,84.8946135831382,19.5305311645872,TRUE
